,year,region_code,regions,age_group_code,average_weekly_income,expenditure_per_person,average_sale_price,hpi,cpi,annual_savings,downpayment_capacity,loan_to_value_ratio,affordability
30,2013,r005,Rest of South Island,3,762.6666666666666,329.3666585286458,354149.2808564232,1666.4249267578125,963.5,22531.600423177082,67594.80126953125,35414.92808564232,6
31,2016,r001,Auckland,1,489.0,511.1000162760417,1214354.3267876992,2268.175048828125,984.5,-1149.2008463541679,-3447.6025390625036,121435.43267876992,1
32,2007,r002,Rest of North Island,3,679.8333333333334,284.06667073567706,298311.20831825613,1514.0,834.5,20579.86645507813,61739.59936523439,29831.120831825614,6
33,2010,r005,Rest of South Island,2,704.6666666666666,312.40000406901044,345598.64387917327,1453.3250732421875,906.0,20397.86645507812,61193.59936523436,34559.864387917325,6
34,2013,r003,Wellington,1,440.0,413.8333333333333,415221.7681528662,1666.4249267578125,963.5,1360.6666666666679,4082.0000000000036,41522.17681528662,1
35,2010,r002,Rest of North Island,3,701.0,291.5333251953125,295959.3880159229,1453.3250732421875,906.0,21292.26708984375,63876.80126953125,29595.938801592292,6
36,2010,r004,Canterbury,1,457.0,334.73333740234375,329218.27931034483,1453.3250732421875,906.0,6357.866455078125,19073.599365234375,32921.82793103448,3
37,2019,r002,Rest of North Island,1,661.6666666666666,396.6999918619792,501821.60296517954,2560.3251953125,1035.25,13778.267089843746,41334.801269531235,50182.160296517955,5
38,2007,r003,Wellington,1,411.0,368.8333333333333,388501.53711646324,1514.0,834.5,2192.666666666668,6578.000000000004,38850.15371164632,1
39,2007,r002,Rest of North Island,1,490.6666666666667,284.06667073567706,298311.20831825613,1514.0,834.5,10743.19978841146,32229.599365234382,29831.120831825614,6
40,2016,r002,Rest of North Island,1,530.0,363.7666829427083,364626.93061757897,2268.175048828125,984.5,8644.132486979168,25932.397460937504,36462.6930617579,4
41,2010,r004,Canterbury,2,579.0,334.73333740234375,329218.27931034483,1453.3250732421875,906.0,12701.866455078125,38105.599365234375,32921.82793103448,6
42,2007,r001,Auckland,3,852.0,354.566650390625,616027.9911622924,1514.0,834.5,25866.5341796875,77599.6025390625,61602.799116229246,6
