income_regions,income_year,income_age_group,income_value
Manawatu-Wanganui Region,2013,40 to 44,799
Manawatu-Wanganui Region,2014,40 to 44,812
Manawatu-Wanganui Region,2015,40 to 44,853
Manawatu-Wanganui Region,2016,40 to 44,838
Manawatu-Wanganui Region,2017,40 to 44,931
Manawatu-Wanganui Region,2018,40 to 44,953
Manawatu-Wanganui Region,2019,40 to 44,1084
Manawatu-Wanganui Region,2020,40 to 44,1106
Wellington Region,1998,40 to 44,609
Wellington Region,1999,40 to 44,683
Wellington Region,2000,40 to 44,680
Wellington Region,2001,40 to 44,725
Wellington Region,2002,40 to 44,782
Wellington Region,2003,40 to 44,856
Wellington Region,2004,40 to 44,740
Wellington Region,2005,40 to 44,832
Wellington Region,2006,40 to 44,863
Wellington Region,2007,40 to 44,950
Wellington Region,2008,40 to 44,933
Wellington Region,2009,40 to 44,1145
Wellington Region,2010,40 to 44,998
Wellington Region,2011,40 to 44,1050
Wellington Region,2012,40 to 44,960
Wellington Region,2013,40 to 44,1046
Wellington Region,2014,40 to 44,1153
Wellington Region,2015,40 to 44,1252
Wellington Region,2016,40 to 44,1386
Wellington Region,2017,40 to 44,1344
Wellington Region,2018,40 to 44,1320
Wellington Region,2019,40 to 44,1454
Wellington Region,2020,40 to 44,1405
Nelson/Tasman/Marlborough/West Coast Regions,1998,40 to 44,491
Nelson/Tasman/Marlborough/West Coast Regions,1999,40 to 44,509
Nelson/Tasman/Marlborough/West Coast Regions,2000,40 to 44,541
Nelson/Tasman/Marlborough/West Coast Regions,2001,40 to 44,563
Nelson/Tasman/Marlborough/West Coast Regions,2002,40 to 44,571
Nelson/Tasman/Marlborough/West Coast Regions,2003,40 to 44,653
Nelson/Tasman/Marlborough/West Coast Regions,2004,40 to 44,644
Nelson/Tasman/Marlborough/West Coast Regions,2005,40 to 44,626
Nelson/Tasman/Marlborough/West Coast Regions,2006,40 to 44,743
Nelson/Tasman/Marlborough/West Coast Regions,2007,40 to 44,770
Nelson/Tasman/Marlborough/West Coast Regions,2008,40 to 44,818
Nelson/Tasman/Marlborough/West Coast Regions,2009,40 to 44,836
Nelson/Tasman/Marlborough/West Coast Regions,2010,40 to 44,801
Nelson/Tasman/Marlborough/West Coast Regions,2011,40 to 44,811
Nelson/Tasman/Marlborough/West Coast Regions,2012,40 to 44,792
Nelson/Tasman/Marlborough/West Coast Regions,2013,40 to 44,837
Nelson/Tasman/Marlborough/West Coast Regions,2014,40 to 44,898
Nelson/Tasman/Marlborough/West Coast Regions,2015,40 to 44,748
Nelson/Tasman/Marlborough/West Coast Regions,2016,40 to 44,959
Nelson/Tasman/Marlborough/West Coast Regions,2017,40 to 44,1023
Nelson/Tasman/Marlborough/West Coast Regions,2018,40 to 44,1100
Nelson/Tasman/Marlborough/West Coast Regions,2019,40 to 44,1025
Nelson/Tasman/Marlborough/West Coast Regions,2020,40 to 44,1343
Canterbury Region,1998,40 to 44,487
Canterbury Region,1999,40 to 44,577
Canterbury Region,2000,40 to 44,563
Canterbury Region,2001,40 to 44,592
Canterbury Region,2002,40 to 44,621
Canterbury Region,2003,40 to 44,656
Canterbury Region,2004,40 to 44,737
Canterbury Region,2005,40 to 44,625
Canterbury Region,2006,40 to 44,740
Canterbury Region,2007,40 to 44,746
Canterbury Region,2008,40 to 44,800
Canterbury Region,2009,40 to 44,781
Canterbury Region,2010,40 to 44,838
Canterbury Region,2011,40 to 44,816
Canterbury Region,2012,40 to 44,797
Canterbury Region,2013,40 to 44,928
Canterbury Region,2014,40 to 44,992
Canterbury Region,2015,40 to 44,1061
Canterbury Region,2016,40 to 44,1156
Canterbury Region,2017,40 to 44,1083
Canterbury Region,2018,40 to 44,1115
Canterbury Region,2019,40 to 44,1171
Canterbury Region,2020,40 to 44,1092
Otago Region,1998,40 to 44,498
Otago Region,1999,40 to 44,560
Otago Region,2000,40 to 44,514
Otago Region,2001,40 to 44,473
Otago Region,2002,40 to 44,612
Otago Region,2003,40 to 44,606
Otago Region,2004,40 to 44,554
Otago Region,2005,40 to 44,756
Otago Region,2006,40 to 44,769
Otago Region,2007,40 to 44,773
Otago Region,2008,40 to 44,836
Otago Region,2009,40 to 44,832
Otago Region,2010,40 to 44,832
Otago Region,2011,40 to 44,839
Otago Region,2012,40 to 44,829
Otago Region,2013,40 to 44,963
Otago Region,2014,40 to 44,1572
Otago Region,2015,40 to 44,1160
Otago Region,2016,40 to 44,988
Otago Region,2017,40 to 44,1071
Otago Region,2018,40 to 44,1172
Otago Region,2019,40 to 44,1025
Otago Region,2020,40 to 44,1004
Southland Region,1998,40 to 44,661
Southland Region,1999,40 to 44,560
Southland Region,2000,40 to 44,598
Southland Region,2001,40 to 44,681
Southland Region,2002,40 to 44,730
Southland Region,2003,40 to 44,803
Southland Region,2004,40 to 44,653
Southland Region,2005,40 to 44,784
Southland Region,2006,40 to 44,757
Southland Region,2007,40 to 44,888
Southland Region,2008,40 to 44,1031
Southland Region,2009,40 to 44,809
Southland Region,2010,40 to 44,914
Southland Region,2011,40 to 44,711
Southland Region,2012,40 to 44,849
Southland Region,2013,40 to 44,819
Southland Region,2014,40 to 44,984
Southland Region,2015,40 to 44,908
Southland Region,2016,40 to 44,942
Southland Region,2017,40 to 44,1036
Southland Region,2018,40 to 44,1001
Southland Region,2019,40 to 44,1017
Southland Region,2020,40 to 44,939
Northland Region,1998,45 to 49,418
Northland Region,1999,45 to 49,513
Northland Region,2000,45 to 49,569
Northland Region,2001,45 to 49,493
Northland Region,2002,45 to 49,590
Northland Region,2003,45 to 49,594
Northland Region,2004,45 to 49,749
Northland Region,2005,45 to 49,968
Northland Region,2006,45 to 49,657
Northland Region,2007,45 to 49,689
Northland Region,2008,45 to 49,692
Northland Region,2009,45 to 49,854
Northland Region,2010,45 to 49,729
Northland Region,2011,45 to 49,705
Northland Region,2012,45 to 49,729
Northland Region,2013,45 to 49,738
Northland Region,2014,45 to 49,847
Northland Region,2015,45 to 49,717
Northland Region,2016,45 to 49,928
Northland Region,2017,45 to 49,829
Northland Region,2018,45 to 49,937
Northland Region,2019,45 to 49,1104
Northland Region,2020,45 to 49,880
Auckland Region,1998,45 to 49,716
Auckland Region,1999,45 to 49,667
Auckland Region,2000,45 to 49,715
Auckland Region,2001,45 to 49,723
Auckland Region,2002,45 to 49,708
Auckland Region,2003,45 to 49,889
Auckland Region,2004,45 to 49,907
Auckland Region,2005,45 to 49,808
Auckland Region,2006,45 to 49,801
Auckland Region,2007,45 to 49,820
Auckland Region,2008,45 to 49,899
Auckland Region,2009,45 to 49,852
Auckland Region,2010,45 to 49,970
Auckland Region,2011,45 to 49,935
Auckland Region,2012,45 to 49,1047
Auckland Region,2013,45 to 49,910
Auckland Region,2014,45 to 49,1023
Auckland Region,2015,45 to 49,1134
Auckland Region,2016,45 to 49,1269
Auckland Region,2017,45 to 49,1242
Auckland Region,2018,45 to 49,1364
Auckland Region,2019,45 to 49,1309
Auckland Region,2020,45 to 49,1353
Waikato Region,1998,45 to 49,533
Waikato Region,1999,45 to 49,581
Waikato Region,2000,45 to 49,589
Waikato Region,2001,45 to 49,617
Waikato Region,2002,45 to 49,639
Waikato Region,2003,45 to 49,705
Waikato Region,2004,45 to 49,746
Waikato Region,2005,45 to 49,738
Waikato Region,2006,45 to 49,801
Waikato Region,2007,45 to 49,816
Waikato Region,2008,45 to 49,827
Waikato Region,2009,45 to 49,869
Waikato Region,2010,45 to 49,836
Waikato Region,2011,45 to 49,828
Waikato Region,2012,45 to 49,925
Waikato Region,2013,45 to 49,842
Waikato Region,2014,45 to 49,928
Waikato Region,2015,45 to 49,983
Waikato Region,2016,45 to 49,1118
Waikato Region,2017,45 to 49,1081
Waikato Region,2018,45 to 49,1249
Waikato Region,2019,45 to 49,1113
Waikato Region,2020,45 to 49,1189
Bay of Plenty Region,1998,45 to 49,574
Bay of Plenty Region,1999,45 to 49,568
Bay of Plenty Region,2000,45 to 49,544
Bay of Plenty Region,2001,45 to 49,579
Bay of Plenty Region,2002,45 to 49,600
Bay of Plenty Region,2003,45 to 49,685
Bay of Plenty Region,2004,45 to 49,665
Bay of Plenty Region,2005,45 to 49,688
Bay of Plenty Region,2006,45 to 49,653
Bay of Plenty Region,2007,45 to 49,745
Bay of Plenty Region,2008,45 to 49,822
Bay of Plenty Region,2009,45 to 49,775
Bay of Plenty Region,2010,45 to 49,903
Bay of Plenty Region,2011,45 to 49,850
Bay of Plenty Region,2012,45 to 49,803
Bay of Plenty Region,2013,45 to 49,928
Bay of Plenty Region,2014,45 to 49,889
Bay of Plenty Region,2015,45 to 49,925
Bay of Plenty Region,2016,45 to 49,1051
Bay of Plenty Region,2017,45 to 49,999
Bay of Plenty Region,2018,45 to 49,998
Bay of Plenty Region,2019,45 to 49,1111
Bay of Plenty Region,2020,45 to 49,1191
Gisborne/Hawkes Bay Regions,1998,45 to 49,459
Gisborne/Hawkes Bay Regions,1999,45 to 49,554
Gisborne/Hawkes Bay Regions,2000,45 to 49,556
Gisborne/Hawkes Bay Regions,2001,45 to 49,613
Gisborne/Hawkes Bay Regions,2002,45 to 49,659
Gisborne/Hawkes Bay Regions,2003,45 to 49,619
Gisborne/Hawkes Bay Regions,2004,45 to 49,596
Gisborne/Hawkes Bay Regions,2005,45 to 49,647
Gisborne/Hawkes Bay Regions,2006,45 to 49,726
Gisborne/Hawkes Bay Regions,2007,45 to 49,737
Gisborne/Hawkes Bay Regions,2008,45 to 49,812
Gisborne/Hawkes Bay Regions,2009,45 to 49,849
Gisborne/Hawkes Bay Regions,2010,45 to 49,802
Gisborne/Hawkes Bay Regions,2011,45 to 49,867
Gisborne/Hawkes Bay Regions,2012,45 to 49,835
Gisborne/Hawkes Bay Regions,2013,45 to 49,645
Gisborne/Hawkes Bay Regions,2014,45 to 49,859
Gisborne/Hawkes Bay Regions,2015,45 to 49,842
Gisborne/Hawkes Bay Regions,2016,45 to 49,933
Gisborne/Hawkes Bay Regions,2017,45 to 49,932
Gisborne/Hawkes Bay Regions,2018,45 to 49,1043
Gisborne/Hawkes Bay Regions,2019,45 to 49,1068
Gisborne/Hawkes Bay Regions,2020,45 to 49,1115
Taranaki Region,1998,45 to 49,544
Taranaki Region,1999,45 to 49,529
Taranaki Region,2000,45 to 49,562
Taranaki Region,2001,45 to 49,584
Taranaki Region,2002,45 to 49,595
Taranaki Region,2003,45 to 49,594
Taranaki Region,2004,45 to 49,686
Taranaki Region,2005,45 to 49,735
Taranaki Region,2006,45 to 49,729
Taranaki Region,2007,45 to 49,754
Taranaki Region,2008,45 to 49,858
Taranaki Region,2009,45 to 49,832
Taranaki Region,2010,45 to 49,951
Taranaki Region,2011,45 to 49,935
Taranaki Region,2012,45 to 49,842
Taranaki Region,2013,45 to 49,897
Taranaki Region,2014,45 to 49,849
Taranaki Region,2015,45 to 49,835
Taranaki Region,2016,45 to 49,816
Taranaki Region,2017,45 to 49,975
Taranaki Region,2018,45 to 49,1094
Taranaki Region,2019,45 to 49,991
Taranaki Region,2020,45 to 49,1107
Manawatu-Wanganui Region,1998,45 to 49,386
Manawatu-Wanganui Region,1999,45 to 49,535
Manawatu-Wanganui Region,2000,45 to 49,596
Manawatu-Wanganui Region,2001,45 to 49,662
Manawatu-Wanganui Region,2002,45 to 49,598
Manawatu-Wanganui Region,2003,45 to 49,545
Manawatu-Wanganui Region,2004,45 to 49,618
Manawatu-Wanganui Region,2005,45 to 49,768
Manawatu-Wanganui Region,2006,45 to 49,661
Manawatu-Wanganui Region,2007,45 to 49,701
Manawatu-Wanganui Region,2008,45 to 49,708
Manawatu-Wanganui Region,2009,45 to 49,741
Manawatu-Wanganui Region,2010,45 to 49,692
Manawatu-Wanganui Region,2011,45 to 49,811
Manawatu-Wanganui Region,2012,45 to 49,751
Manawatu-Wanganui Region,2013,45 to 49,842
Manawatu-Wanganui Region,2014,45 to 49,855
Manawatu-Wanganui Region,2015,45 to 49,771
Manawatu-Wanganui Region,2016,45 to 49,851
Manawatu-Wanganui Region,2017,45 to 49,1037
Manawatu-Wanganui Region,2018,45 to 49,941
Manawatu-Wanganui Region,2019,45 to 49,981
Manawatu-Wanganui Region,2020,45 to 49,1064
Wellington Region,1998,45 to 49,718
Wellington Region,1999,45 to 49,715
Wellington Region,2000,45 to 49,697
Wellington Region,2001,45 to 49,729
Wellington Region,2002,45 to 49,824
Wellington Region,2003,45 to 49,668
Wellington Region,2004,45 to 49,718
Wellington Region,2005,45 to 49,822
Wellington Region,2006,45 to 49,900
Wellington Region,2007,45 to 49,1045
Wellington Region,2008,45 to 49,1032
Wellington Region,2009,45 to 49,1140
Wellington Region,2010,45 to 49,1376
Wellington Region,2011,45 to 49,1154
Wellington Region,2012,45 to 49,1074
Wellington Region,2013,45 to 49,1097
Wellington Region,2014,45 to 49,1258
Wellington Region,2015,45 to 49,1335
Wellington Region,2016,45 to 49,1326
Wellington Region,2017,45 to 49,1325
Wellington Region,2018,45 to 49,1451
Wellington Region,2019,45 to 49,1460
Wellington Region,2020,45 to 49,1463
Nelson/Tasman/Marlborough/West Coast Regions,1998,45 to 49,476
Nelson/Tasman/Marlborough/West Coast Regions,1999,45 to 49,487
Nelson/Tasman/Marlborough/West Coast Regions,2000,45 to 49,481
Nelson/Tasman/Marlborough/West Coast Regions,2001,45 to 49,583
Nelson/Tasman/Marlborough/West Coast Regions,2002,45 to 49,580
Nelson/Tasman/Marlborough/West Coast Regions,2003,45 to 49,644
Nelson/Tasman/Marlborough/West Coast Regions,2004,45 to 49,695
Nelson/Tasman/Marlborough/West Coast Regions,2005,45 to 49,675
Nelson/Tasman/Marlborough/West Coast Regions,2006,45 to 49,704
Nelson/Tasman/Marlborough/West Coast Regions,2007,45 to 49,761
Nelson/Tasman/Marlborough/West Coast Regions,2008,45 to 49,799
Nelson/Tasman/Marlborough/West Coast Regions,2009,45 to 49,850
Nelson/Tasman/Marlborough/West Coast Regions,2010,45 to 49,770
Nelson/Tasman/Marlborough/West Coast Regions,2011,45 to 49,723
Nelson/Tasman/Marlborough/West Coast Regions,2012,45 to 49,884
Nelson/Tasman/Marlborough/West Coast Regions,2013,45 to 49,909
Nelson/Tasman/Marlborough/West Coast Regions,2014,45 to 49,1118
Nelson/Tasman/Marlborough/West Coast Regions,2015,45 to 49,1019
Nelson/Tasman/Marlborough/West Coast Regions,2016,45 to 49,800
Nelson/Tasman/Marlborough/West Coast Regions,2017,45 to 49,969
Nelson/Tasman/Marlborough/West Coast Regions,2018,45 to 49,1082
Nelson/Tasman/Marlborough/West Coast Regions,2019,45 to 49,1138
Nelson/Tasman/Marlborough/West Coast Regions,2020,45 to 49,999
Canterbury Region,1998,45 to 49,494
Canterbury Region,1999,45 to 49,604
Canterbury Region,2000,45 to 49,593
Canterbury Region,2001,45 to 49,584
Canterbury Region,2002,45 to 49,652
Canterbury Region,2003,45 to 49,720
Canterbury Region,2004,45 to 49,739
Canterbury Region,2005,45 to 49,832
Canterbury Region,2006,45 to 49,781
Canterbury Region,2007,45 to 49,837
Canterbury Region,2008,45 to 49,813
Canterbury Region,2009,45 to 49,875
Canterbury Region,2010,45 to 49,873
Canterbury Region,2011,45 to 49,978
Canterbury Region,2012,45 to 49,889
Canterbury Region,2013,45 to 49,1203
Canterbury Region,2014,45 to 49,1155
Canterbury Region,2015,45 to 49,1086
Canterbury Region,2016,45 to 49,1183
Canterbury Region,2017,45 to 49,1149
Canterbury Region,2018,45 to 49,1434
Canterbury Region,2019,45 to 49,1401
Canterbury Region,2020,45 to 49,1152
Otago Region,1998,45 to 49,513
Otago Region,1999,45 to 49,578
Otago Region,2000,45 to 49,558
Otago Region,2001,45 to 49,637
Otago Region,2002,45 to 49,587
Otago Region,2003,45 to 49,610
Otago Region,2004,45 to 49,576
Otago Region,2005,45 to 49,689
Otago Region,2006,45 to 49,804
Otago Region,2007,45 to 49,775
Otago Region,2008,45 to 49,803
Otago Region,2009,45 to 49,833
Otago Region,2010,45 to 49,893
Otago Region,2011,45 to 49,854
Otago Region,2012,45 to 49,768
Otago Region,2013,45 to 49,958
Otago Region,2014,45 to 49,912
Otago Region,2015,45 to 49,977
Otago Region,2016,45 to 49,1046
Otago Region,2017,45 to 49,1065
Otago Region,2018,45 to 49,1086
Otago Region,2019,45 to 49,1111
Otago Region,2020,45 to 49,983
Southland Region,1998,45 to 49,778
Southland Region,1999,45 to 49,518
Southland Region,2000,45 to 49,574
Southland Region,2001,45 to 49,853
Southland Region,2002,45 to 49,689
Southland Region,2003,45 to 49,722
Southland Region,2004,45 to 49,689
Southland Region,2005,45 to 49,712
Southland Region,2006,45 to 49,765
Southland Region,2007,45 to 49,807
Southland Region,2008,45 to 49,789
Southland Region,2009,45 to 49,804
Southland Region,2010,45 to 49,881
Southland Region,2011,45 to 49,899
Southland Region,2012,45 to 49,869
Southland Region,2013,45 to 49,1097
Southland Region,2014,45 to 49,998
Southland Region,2015,45 to 49,995
Southland Region,2016,45 to 49,1051
Southland Region,2017,45 to 49,1140
Southland Region,2018,45 to 49,900
Southland Region,2019,45 to 49,2184
Southland Region,2020,45 to 49,1150
Northland Region,1998,50 to 54,514
Northland Region,1999,50 to 54,485
Northland Region,2000,50 to 54,413
Northland Region,2001,50 to 54,452
Northland Region,2002,50 to 54,511
Northland Region,2003,50 to 54,529
Northland Region,2004,50 to 54,480
Northland Region,2005,50 to 54,570
Northland Region,2006,50 to 54,685
Northland Region,2007,50 to 54,675
Northland Region,2008,50 to 54,638
Northland Region,2009,50 to 54,807
Northland Region,2010,50 to 54,674
Northland Region,2011,50 to 54,764
Northland Region,2012,50 to 54,703
Northland Region,2013,50 to 54,821
Northland Region,2014,50 to 54,746
Northland Region,2015,50 to 54,922
Northland Region,2016,50 to 54,771
Northland Region,2017,50 to 54,856
Northland Region,2018,50 to 54,1295
Northland Region,2019,50 to 54,975
Northland Region,2020,50 to 54,1039
Auckland Region,1998,50 to 54,575
Auckland Region,1999,50 to 54,673
Auckland Region,2000,50 to 54,658
Auckland Region,2001,50 to 54,718
Auckland Region,2002,50 to 54,718
Auckland Region,2003,50 to 54,708
Auckland Region,2004,50 to 54,849
Auckland Region,2005,50 to 54,782
Auckland Region,2006,50 to 54,756
Auckland Region,2007,50 to 54,833
Auckland Region,2008,50 to 54,904
Auckland Region,2009,50 to 54,832
Auckland Region,2010,50 to 54,921
Auckland Region,2011,50 to 54,1030
Auckland Region,2012,50 to 54,998
Auckland Region,2013,50 to 54,976
Auckland Region,2014,50 to 54,1129
Auckland Region,2015,50 to 54,1057
Auckland Region,2016,50 to 54,1098
Auckland Region,2017,50 to 54,1137
Auckland Region,2018,50 to 54,1222
Auckland Region,2019,50 to 54,1252
Auckland Region,2020,50 to 54,1360
Waikato Region,1998,50 to 54,545
Waikato Region,1999,50 to 54,520
Waikato Region,2000,50 to 54,535
Waikato Region,2001,50 to 54,548
Waikato Region,2002,50 to 54,611
Waikato Region,2003,50 to 54,636
Waikato Region,2004,50 to 54,708
Waikato Region,2005,50 to 54,697
Waikato Region,2006,50 to 54,674
Waikato Region,2007,50 to 54,786
Waikato Region,2008,50 to 54,829
Waikato Region,2009,50 to 54,814
Waikato Region,2010,50 to 54,809
Waikato Region,2011,50 to 54,836
Waikato Region,2012,50 to 54,970
Waikato Region,2013,50 to 54,869
Waikato Region,2014,50 to 54,891
Waikato Region,2015,50 to 54,1006
Waikato Region,2016,50 to 54,1060
Waikato Region,2017,50 to 54,1098
Waikato Region,2018,50 to 54,1270
Waikato Region,2019,50 to 54,1191
Waikato Region,2020,50 to 54,1244
Bay of Plenty Region,1998,50 to 54,465
Bay of Plenty Region,1999,50 to 54,478
Bay of Plenty Region,2000,50 to 54,477
Bay of Plenty Region,2001,50 to 54,629
Bay of Plenty Region,2002,50 to 54,582
Bay of Plenty Region,2003,50 to 54,647
Bay of Plenty Region,2004,50 to 54,596
Bay of Plenty Region,2005,50 to 54,516
Bay of Plenty Region,2006,50 to 54,723
Bay of Plenty Region,2007,50 to 54,768
Bay of Plenty Region,2008,50 to 54,755
Bay of Plenty Region,2009,50 to 54,795
Bay of Plenty Region,2010,50 to 54,823
Bay of Plenty Region,2011,50 to 54,731
Bay of Plenty Region,2012,50 to 54,914
Bay of Plenty Region,2013,50 to 54,812
Bay of Plenty Region,2014,50 to 54,875
Bay of Plenty Region,2015,50 to 54,888
Bay of Plenty Region,2016,50 to 54,846
Bay of Plenty Region,2017,50 to 54,1066
Bay of Plenty Region,2018,50 to 54,1110
Bay of Plenty Region,2019,50 to 54,1106
Bay of Plenty Region,2020,50 to 54,1114
Gisborne/Hawkes Bay Regions,1998,50 to 54,707
Gisborne/Hawkes Bay Regions,1999,50 to 54,542
Gisborne/Hawkes Bay Regions,2000,50 to 54,522
Gisborne/Hawkes Bay Regions,2001,50 to 54,615
Gisborne/Hawkes Bay Regions,2002,50 to 54,581
Gisborne/Hawkes Bay Regions,2003,50 to 54,667
Gisborne/Hawkes Bay Regions,2004,50 to 54,608
Gisborne/Hawkes Bay Regions,2005,50 to 54,537
Gisborne/Hawkes Bay Regions,2006,50 to 54,659
Gisborne/Hawkes Bay Regions,2007,50 to 54,761
Gisborne/Hawkes Bay Regions,2008,50 to 54,714
Gisborne/Hawkes Bay Regions,2009,50 to 54,760
Gisborne/Hawkes Bay Regions,2010,50 to 54,770
Gisborne/Hawkes Bay Regions,2011,50 to 54,734
Gisborne/Hawkes Bay Regions,2012,50 to 54,738
Gisborne/Hawkes Bay Regions,2013,50 to 54,852
Gisborne/Hawkes Bay Regions,2014,50 to 54,863
Gisborne/Hawkes Bay Regions,2015,50 to 54,799
Gisborne/Hawkes Bay Regions,2016,50 to 54,1142
Gisborne/Hawkes Bay Regions,2017,50 to 54,1000
Gisborne/Hawkes Bay Regions,2018,50 to 54,1038
Gisborne/Hawkes Bay Regions,2019,50 to 54,1319
Gisborne/Hawkes Bay Regions,2020,50 to 54,1235
Taranaki Region,1998,50 to 54,569
Taranaki Region,1999,50 to 54,556
Taranaki Region,2000,50 to 54,530
Taranaki Region,2001,50 to 54,581
Taranaki Region,2002,50 to 54,531
Taranaki Region,2003,50 to 54,609
Taranaki Region,2004,50 to 54,604
Taranaki Region,2005,50 to 54,614
Taranaki Region,2006,50 to 54,595
Taranaki Region,2007,50 to 54,732
Taranaki Region,2008,50 to 54,818
Taranaki Region,2009,50 to 54,903
Taranaki Region,2010,50 to 54,830
Taranaki Region,2011,50 to 54,830
Taranaki Region,2012,50 to 54,1016
Taranaki Region,2013,50 to 54,903
Taranaki Region,2014,50 to 54,996
Taranaki Region,2015,50 to 54,976
Taranaki Region,2016,50 to 54,955
Taranaki Region,2017,50 to 54,1056
Taranaki Region,2018,50 to 54,982
Taranaki Region,2019,50 to 54,882
Taranaki Region,2020,50 to 54,1047
Manawatu-Wanganui Region,1998,50 to 54,460
Manawatu-Wanganui Region,1999,50 to 54,514
Manawatu-Wanganui Region,2000,50 to 54,510
Manawatu-Wanganui Region,2001,50 to 54,573
Manawatu-Wanganui Region,2002,50 to 54,586
Manawatu-Wanganui Region,2003,50 to 54,602
Manawatu-Wanganui Region,2004,50 to 54,666
Manawatu-Wanganui Region,2005,50 to 54,663
Manawatu-Wanganui Region,2006,50 to 54,733
Manawatu-Wanganui Region,2007,50 to 54,796
Manawatu-Wanganui Region,2008,50 to 54,744
Manawatu-Wanganui Region,2009,50 to 54,740
Manawatu-Wanganui Region,2010,50 to 54,755
Manawatu-Wanganui Region,2011,50 to 54,750
Manawatu-Wanganui Region,2012,50 to 54,786
Manawatu-Wanganui Region,2013,50 to 54,779
Manawatu-Wanganui Region,2014,50 to 54,763
Manawatu-Wanganui Region,2015,50 to 54,839
Manawatu-Wanganui Region,2016,50 to 54,922
Manawatu-Wanganui Region,2017,50 to 54,888
Manawatu-Wanganui Region,2018,50 to 54,906
Manawatu-Wanganui Region,2019,50 to 54,957
Manawatu-Wanganui Region,2020,50 to 54,860
Wellington Region,1998,50 to 54,630
Wellington Region,1999,50 to 54,623
Wellington Region,2000,50 to 54,662
Wellington Region,2001,50 to 54,695
Wellington Region,2002,50 to 54,771
Wellington Region,2003,50 to 54,815
Wellington Region,2004,50 to 54,737
Wellington Region,2005,50 to 54,728
Wellington Region,2006,50 to 54,915
Wellington Region,2007,50 to 54,1054
Wellington Region,2008,50 to 54,926
Wellington Region,2009,50 to 54,944
Wellington Region,2010,50 to 54,1076
Wellington Region,2011,50 to 54,891
Wellington Region,2012,50 to 54,1000
Wellington Region,2013,50 to 54,1161
Wellington Region,2014,50 to 54,1206
Wellington Region,2015,50 to 54,1265
Wellington Region,2016,50 to 54,1489
Wellington Region,2017,50 to 54,1348
Wellington Region,2018,50 to 54,1396
Wellington Region,2019,50 to 54,1640
Wellington Region,2020,50 to 54,1333
Nelson/Tasman/Marlborough/West Coast Regions,1998,50 to 54,466
Nelson/Tasman/Marlborough/West Coast Regions,1999,50 to 54,417
Nelson/Tasman/Marlborough/West Coast Regions,2000,50 to 54,421
Nelson/Tasman/Marlborough/West Coast Regions,2001,50 to 54,579
Nelson/Tasman/Marlborough/West Coast Regions,2002,50 to 54,535
Nelson/Tasman/Marlborough/West Coast Regions,2003,50 to 54,592
Nelson/Tasman/Marlborough/West Coast Regions,2004,50 to 54,628
Nelson/Tasman/Marlborough/West Coast Regions,2005,50 to 54,641
Nelson/Tasman/Marlborough/West Coast Regions,2006,50 to 54,635
Nelson/Tasman/Marlborough/West Coast Regions,2007,50 to 54,730
Nelson/Tasman/Marlborough/West Coast Regions,2008,50 to 54,741
Nelson/Tasman/Marlborough/West Coast Regions,2009,50 to 54,850
Nelson/Tasman/Marlborough/West Coast Regions,2010,50 to 54,766
Nelson/Tasman/Marlborough/West Coast Regions,2011,50 to 54,848
Nelson/Tasman/Marlborough/West Coast Regions,2012,50 to 54,728
Nelson/Tasman/Marlborough/West Coast Regions,2013,50 to 54,849
Nelson/Tasman/Marlborough/West Coast Regions,2014,50 to 54,936
Nelson/Tasman/Marlborough/West Coast Regions,2015,50 to 54,862
Nelson/Tasman/Marlborough/West Coast Regions,2016,50 to 54,1243
Nelson/Tasman/Marlborough/West Coast Regions,2017,50 to 54,974
Nelson/Tasman/Marlborough/West Coast Regions,2018,50 to 54,1184
Nelson/Tasman/Marlborough/West Coast Regions,2019,50 to 54,1036
Nelson/Tasman/Marlborough/West Coast Regions,2020,50 to 54,1092
Canterbury Region,1998,50 to 54,443
Canterbury Region,1999,50 to 54,580
Canterbury Region,2000,50 to 54,542
Canterbury Region,2001,50 to 54,566
Canterbury Region,2002,50 to 54,653
Canterbury Region,2003,50 to 54,730
Canterbury Region,2004,50 to 54,643
Canterbury Region,2005,50 to 54,734
Canterbury Region,2006,50 to 54,836
Canterbury Region,2007,50 to 54,748
Canterbury Region,2008,50 to 54,860
Canterbury Region,2009,50 to 54,972
Canterbury Region,2010,50 to 54,947
Canterbury Region,2011,50 to 54,920
Canterbury Region,2012,50 to 54,896
Canterbury Region,2013,50 to 54,996
Canterbury Region,2014,50 to 54,1094
Canterbury Region,2015,50 to 54,975
Canterbury Region,2016,50 to 54,1059
Canterbury Region,2017,50 to 54,1198
Canterbury Region,2018,50 to 54,1260
Canterbury Region,2019,50 to 54,1170
Canterbury Region,2020,50 to 54,1245
Otago Region,1998,50 to 54,521
Otago Region,1999,50 to 54,456
Otago Region,2000,50 to 54,502
Otago Region,2001,50 to 54,598
Otago Region,2002,50 to 54,581
Otago Region,2003,50 to 54,606
Otago Region,2004,50 to 54,725
Otago Region,2005,50 to 54,698
Otago Region,2006,50 to 54,790
Otago Region,2007,50 to 54,753
Otago Region,2008,50 to 54,886
Otago Region,2009,50 to 54,804
Otago Region,2010,50 to 54,857
Otago Region,2011,50 to 54,910
Otago Region,2012,50 to 54,895
Otago Region,2013,50 to 54,986
Otago Region,2014,50 to 54,995
